,Procesamiento dia y evento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VOLTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAIS,CENTRAL,8/23/2024,8/25/2024,8/24/2024,8/23/2024,8/22/2024,8/21/2024,8/20/2024,8/19/2024,8/18/2024,8/17/2024,8/16/2024,8/15/2024,8/14/2024,8/13/2024,8/12/2024,8/11/2024,8/10/2024,8/9/2024,8/8/2024,8/7/2024,8/6/2024,8/5/2024,8/4/2024,8/3/2024,8/2/2024,8/1/2024,7/31/2024,7/30/2024,7/29/2024,7/28/2024
EVENT,CR_EVENT,39,238,297,345,332,332,336,342,242,302,349,275,358,338,335,242,299,339,326,317,328,344,242,289,272,346,339,154,0,0
DAY,CR_DAY,49,257,280,377,334,308,325,337,246,305,408,240,354,452,194,244,299,341,324,317,330,339,247,285,271,349,336,149,0,0
EVENT,GT_EVENT,191,11114,13746,15269,14899,14817,14815,15285,11177,13835,15519,13600,14877,14565,15059,11151,13651,14971,14166,13208,14608,14752,11030,13737,14701,18320,10793,7607,0,0
